name,size,values,imports
node.0.jaed_k,0.0,,
node.0.DanielaElser,26.0,,"['node.1.lottiewillis', 'node.3._SarahMcPhee', 'node.0.SimonThomsen', 'node.3.diversionary', 'node.1.BecFranks', 'node.3._leo_s', 'node.3.RenataGortan', 'node.1.lizeburke', 'node.3.MattYoung', 'node.3.ScotTheLot', 'node.1.belinda_palmada', 'node.0.crisdeal', 'node.3.prwireau', 'node.3.darrenwick9']"
node.0.HearSteveRoss,0.0,,
node.0.JordanKurzweil,7.0,,"['node.1.wjcohen', 'node.3.lmoses']"
node.0.martinamartina,5.0,,"['node.1.wjcohen', 'node.0.rajivpant', 'node.3.everyplace']"
node.0.shazaansayeed,0.0,,
node.0.MarkNiuWrite,5.0,,"['node.0.alangkarapatan', 'node.3.jerryschranz']"
node.0.justincormack,12.0,,"['node.0.sublimino', 'node.0.McBoof', 'node.3.dominicyoung', 'node.0.simonmaddox', 'node.0.fintula']"
node.0.jeffweissner,0.0,,
node.0.scottnorvell,20.0,,"['node.1.r2000c', 'node.0.abirnbaum', 'node.3.BrianKieran', 'node.2.DavidClinchNews', 'node.3.dominicyoung', 'node.0.abedelman', 'node.0.TiffanyLaBanca', 'node.3.Storyful']"
node.0.LozCrowther,10.0,,"['node.3.jg_rat', 'node.0.mathesonjohn', 'node.0.roshan092', 'node.0.chrismewett', 'node.3.keithahern', 'node.0.Andrew303']"
node.0.mariecamilleh,135.0,,"['node.3.michaelbodey', 'node.3.sam_lec', 'node.3.Anna_Hartley1', 'node.0.NicoletteLogue', 'node.1.scoopnewsworthy', 'node.3.stefaniebalogh', 'node.3.emritchiewrites', 'node.1.jess_clement', 'node.3.influencingcom', 'node.3.heatherlmcnab', 'node.3.MichaelRoddan', 'node.3.AlexESampson', 'node.3.AlanaMitchelson', 'node.1.SharriMarkson', 'node.3._leo_s', 'node.3.antonrosetweet', 'node.3.fergusonjw', 'node.1.clarissa_bye', 'node.3.cathwebber', 'node.0.ReginaLovic', 'node.3.ViscountBrooky', 'node.3.ByEichler', 'node.3.kennedyawards', 'node.1.zacjmclean', 'node.0.ChrisPavPhotog', 'node.3.BrettMasonNews', 'node.3.JessRapana', 'node.3.yJimJia', 'node.1.ejohnno', 'node.3.MattYoung', 'node.0.SydneyEditor', 'node.3.RenataGortan', 'node.3.NicBerko', 'node.1.rachelbaxendale', 'node.1.PDGarvey', 'node.3.mitchneems', 'node.2.saschaosullivan', 'node.1.camcansnap', 'node.3.mirandaleigh90', 'node.3.dunlop_craig', 'node.3.Peter_F_Ryan', 'node.3.RyanNorthover', 'node.3.amosaikman', 'node.0.hthtdraws', 'node.3.PatrickWilliams', 'node.2.hollieaadams', 'node.3.LukeDennehy', 'node.3.timburrowes', 'node.0.Ro_Smith', 'node.1.NicholasGray', 'node.3.murphymiranda', 'node.1.lizeburke', 'node.1.LillSaleh', 'node.3.nicchristensen', 'node.1.brighetteryan']"
node.0.JZMak,2.0,,"['node.0.chris_khalil', 'node.0.jacqui_owens']"
node.0.lamsy_senior,1.0,,
node.0.TizianaSRinaldi,1.0,,['node.1.jessieyshi']
node.0.benscadden,76.0,,"['node.3.julestullberg', 'node.3.ThomasDougherty', 'node.0.craighutchy', 'node.3.WLudbey', 'node.3.CelesteVillani', 'node.0.NickSmart85', 'node.0.BeJaiG', 'node.3.TrueLifeOfBrian', 'node.0.finn_bradshaw', 'node.0.shannonomeara', 'node.3.leshinton', 'node.3.SkipperAust', 'node.3.AnthDeCeglie', 'node.0.katie_spain', 'node.3.TheRealJessLeo', 'node.3.fergusonjw', 'node.0.saline', 'node.3.Val61', 'node.3.purcellpw', 'node.3.prwireau', 'node.3.cathwebber', 'node.3.ByEichler', 'node.1.karajung', 'node.3.mattsmithson', 'node.3.patkeam', 'node.0.SydneyEditor', 'node.3.cpyne', 'node.3.Rencastello', 'node.0.RedmanMediaAU', 'node.0.bradgreen234', 'node.3.TomRichardson', 'node.1.rob_sutherland3', 'node.0.CameronEngland', 'node.0.DerekPedley', 'node.0.GregBarila']"
node.0.dehnj,1.0,,
